[17-Nov-2020 19:14:56 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:14:58 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:14:58 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:16:11 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:16:11 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:16:13 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:16:13 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:17:27 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:17:27 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:17:28 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:17:28 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:18:12 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:18:12 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:20:17 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:20:17 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:22:26 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:22:26 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:23:38 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:23:38 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:25:04 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:25:04 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:25:40 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:25:40 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:26:11 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:26:11 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:36:28 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:36:28 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:37:17 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:37:17 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:37:59 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:38:00 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:38:24 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:38:24 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:48:18 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:48:18 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:48:23 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:48:23 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:48:26 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:48:26 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:53:35 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:53:35 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:53:42 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:53:42 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:58:32 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:58:32 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 19:58:34 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 19:58:34 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 20:01:04 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 20:01:04 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 20:01:07 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 20:01:07 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 20:01:58 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 20:01:58 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 20:02:01 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 20:02:01 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 20:04:07 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 20:04:07 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 20:04:10 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 20:04:10 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 20:04:35 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 20:04:35 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 20:04:40 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 20:04:40 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 20:05:52 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 20:05:52 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 20:05:55 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
[17-Nov-2020 20:05:55 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 17
[17-Nov-2020 20:06:01 UTC] PHP Notice:  Undefined index: idlocal1 in /home/sppfla5/havannagestion.com.ar/Views/auditoria/getLocales.php on line 2
